id,doi
366225,10.1515/joc-2022-0272
366228,10.1515/joc-2023-0033
366244,10.1515/joc-2022-0117
366250,10.1515/joc-2023-0024
366253,10.1515/joc-2023-0017
366256,10.1515/joc-2022-0260
366269,10.1515/joc-2022-0124
366271,10.1515/joc-2023-0022
366275,10.1515/joc-2022-0104
366282,10.1515/joc-2022-0245
366283,10.1515/joc-2022-0238
366285,10.1515/joc-2023-0025
366307,10.1515/joc-2023-0014
366323,10.1515/joc-2023-0003
366324,10.1515/joc-2022-0253
366327,10.1515/joc-2023-0010
366337,10.1515/joc-2023-0015
366341,10.1515/joc-2022-0251
366349,10.1515/joc-2022-0250
366351,10.1515/joc-2023-0005
366354,10.1515/joc-2022-0221
366369,10.1515/joc-2022-0211
366376,10.1515/joc-2023-0032
366380,10.1515/joc-2023-0036
366383,10.1515/joc-2022-0115
366387,10.1515/joc-2022-0217
366388,10.1515/joc-2022-0234
366396,10.1515/joc-2022-0100
366406,10.1515/joc-2023-0028
366431,10.1515/joc-2023-0018
3781344,10.11591/ijeecs.v19.i2.pp847-854
3781488,10.11591/ijeecs.v20.i3.pp1406-1412
3781496,10.11591/ijeecs.v18.i2.pp843-847
3781510,10.11591/ijeecs.v21.i2.pp957-967
3781512,10.11591/ijeecs.v16.i2.pp1070-1076
3781559,10.11591/ijeecs.v18.i2.pp890-895
3781806,10.11591/ijeecs.v16.i3.pp1392-1397
3781881,10.11591/ijeecs.v17.i3.pp1405-1409
3782127,10.11591/ijeecs.v21.i2.pp978-986
7640818,10.1007/s11277-019-06687-2
8461857,10.1515/joc-2020-0216
8461868,10.1515/joc-2020-0239
8461871,10.1515/joc-2020-0117
8461913,10.1515/joc-2019-0175
8461921,10.1515/joc-2020-0146
8461978,10.1515/joc-2019-0197
8461982,10.1515/joc-2020-0257
8462014,10.1515/joc-2019-0153
8462017,10.1515/joc-2019-0252
8462022,10.1515/joc-2020-0223
8462032,10.1515/joc-2019-0146
8462034,10.1515/joc-2019-0108
8462054,10.1515/joc-2020-0188
8462065,10.1515/joc-2021-0062
8462138,10.1515/joc-2019-0156
8462143,10.1515/joc-2019-0187
8462157,10.1515/joc-2020-0190
8462158,10.1515/joc-2019-0203
8462161,10.1515/joc-2019-0205
8462200,10.1515/joc-2019-0312
8462201,10.1515/joc-2021-0118
8462238,10.1515/joc-2019-0168
8462309,10.1515/joc-2020-0012
8462339,10.1515/joc-2019-0132
8462346,10.1515/joc-2019-0226
8947625,10.1515/joc-2022-0129
10215369,10.1007/s11468-020-01334-0
11181047,10.1515/joc-2022-0121
